work_order_id,asset_id,maintenance_date,maintenance_type,description,priority,status,contractor,labour_hours,material_cost,labour_cost,total_cost,completion_date
WO-00165,WA-0043,2026-09-27,Emergency Repair,Emergency Repair completed for asset WA-0043,Medium,Open,PipeTech NZ,5.3,1415.2,694.78,2109.98,
WO-00166,WA-0022,2025-06-04,Emergency Repair,Hydrant Testing completed for asset WA-0022,Medium,In Progress,Arawa Civil,5.9,579.85,523.61,1103.46,
WO-00167,WA-0018,2026-07-13,Emergency Repair,Pipe Replacement completed for asset WA-0018,Low,In Progress,PipeTech NZ,11.3,1847.14,1137.56,2984.7,
WO-00168,WA-0048,2022-12-30,Leak Repair,Pump Service completed for asset WA-0048,Low,In Progress,Rotorua Water Works,15.4,675.16,1730.47,2405.63,
WO-00169,WA-0075,2024-09-04,Inspection,Hydrant Testing completed for asset WA-0075,High,Cancelled,Council Internal Crew,13.6,2374.42,1190.39,3564.81,2024-09-18
WO-00170,WA-0050,2023-04-08,Pipe Replacement,Leak Repair completed for asset WA-0050,Low,Completed,Council Internal Crew,11.0,1788.92,1122.82,2911.74,2023-04-08
WO-00171,WA-0070,2024-12-20,Pipe Replacement,Pump Service completed for asset WA-0070,Medium,Completed,Arawa Civil,4.0,403.74,346.98,750.72,2025-01-06
WO-00172,WA-0092,2022-12-17,Hydrant Testing,Hydrant Testing completed for asset WA-0092,Low,Cancelled,Arawa Civil,10.7,2684.8,1244.98,3929.78,2023-01-01
WO-00173,WA-0035,2025-11-06,Leak Repair,Leak Repair completed for asset WA-0035,Medium,Open,Bay Utility Services,6.8,2137.49,912.65,3050.14,
WO-00174,WA-0031,2025-08-04,Hydrant Testing,Preventive Maintenance completed for asset WA-0031,Medium,Cancelled,Arawa Civil,11.6,773.05,1450.46,2223.51,2025-08-07
WO-00175,WA-0072,2022-09-29,Leak Repair,Pipe Replacement completed for asset WA-0072,High,Completed,Bay Utility Services,5.8,308.32,706.92,1015.24,2022-10-11
WO-00176,WA-0077,2024-04-19,Emergency Repair,Pump Service completed for asset WA-0077,High,Completed,Arawa Civil,5.6,3877.23,558.84,4436.07,2024-05-02
WO-00177,WA-0047,2023-10-15,Preventive Maintenance,Pipe Replacement completed for asset WA-0047,Medium,Completed,Council Internal Crew,11.7,1101.47,1166.19,2267.66,2023-10-29
WO-00178,WA-0090,2022-12-01,Preventive Maintenance,Pipe Replacement completed for asset WA-0090,High,Completed,PipeTech NZ,4.8,747.22,473.0,1220.22,2022-12-08
WO-00179,WA-0065,2022-09-15,Inspection,Emergency Repair completed for asset WA-0065,Medium,Completed,Rotorua Water Works,10.3,1894.56,1274.64,3169.2,2022-10-05
WO-00180,WA-0086,2023-02-05,Emergency Repair,Preventive Maintenance completed for asset WA-0086,Medium,Completed,Rotorua Water Works,9.5,4421.06,853.09,5274.15,2023-02-09
WO-00181,WA-0074,2022-09-07,Preventive Maintenance,Pipe Replacement completed for asset WA-0074,Low,Completed,Council Internal Crew,17.3,4122.17,2165.7,6287.87,2022-09-25
WO-00182,WA-0087,2024-05-01,Pump Service,Preventive Maintenance completed for asset WA-0087,High,Open,Bay Utility Services,9.8,3327.32,893.38,4220.7,
WO-00183,WA-0068,2023-05-03,Leak Repair,Preventive Maintenance completed for asset WA-0068,Low,Completed,Council Internal Crew,11.2,2527.29,985.17,3512.46,2023-05-06
WO-00184,WA-0058,2022-02-03,Pipe Replacement,Emergency Repair completed for asset WA-0058,Medium,Completed,Arawa Civil,5.5,1678.43,697.22,2375.65,2022-02-16
WO-00185,WA-0085,2024-03-02,Emergency Repair,Inspection completed for asset WA-0085,Medium,Cancelled,Council Internal Crew,15.3,644.47,1752.4,2396.87,2024-03-06
WO-00186,WA-0027,2025-11-18,Leak Repair,Emergency Repair completed for asset WA-0027,Low,Completed,Arawa Civil,10.3,4035.85,1098.16,5134.01,2025-11-24
WO-00187,WA-0076,2022-12-30,Hydrant Testing,Emergency Repair completed for asset WA-0076,High,Completed,PipeTech NZ,15.1,1615.55,1973.35,3588.9,2023-01-10
WO-00188,WA-0059,2024-11-15,Hydrant Testing,Leak Repair completed for asset WA-0059,Low,Completed,PipeTech NZ,9.8,854.87,987.31,1842.18,2024-11-26
WO-00189,WA-0088,2024-12-30,Hydrant Testing,Inspection completed for asset WA-0088,Medium,Cancelled,Arawa Civil,7.2,2748.7,748.08,3496.78,2025-01-17
WO-00190,WA-0050,2025-12-22,Pump Service,Inspection completed for asset WA-0050,Medium,Completed,Arawa Civil,15.8,3848.21,1993.39,5841.6,2026-01-06
WO-00191,WA-0089,2024-03-18,Pump Service,Pipe Replacement completed for asset WA-0089,Urgent,Completed,Bay Utility Services,14.7,1323.82,1980.89,3304.71,2024-04-01
WO-00192,WA-0072,2022-08-16,Inspection,Pipe Replacement completed for asset WA-0072,Medium,Cancelled,Bay Utility Services,16.1,2182.23,2112.7,4294.93,2022-08-16
WO-00193,WA-0019,2026-07-04,Emergency Repair,Pump Service completed for asset WA-0019,Low,Completed,Council Internal Crew,5.5,852.63,661.75,1514.38,2026-07-22
WO-00194,WA-0064,2023-01-08,Inspection,Emergency Repair completed for asset WA-0064,Urgent,Completed,PipeTech NZ,1.6,1304.17,208.24,1512.41,2023-01-26
WO-00195,WA-0024,2022-11-19,Emergency Repair,Emergency Repair completed for asset WA-0024,Medium,Completed,PipeTech NZ,15.6,2342.74,1925.34,4268.08,2022-12-04
WO-00196,WA-0079,2025-11-21,Hydrant Testing,Pipe Replacement completed for asset WA-0079,High,Completed,Bay Utility Services,9.3,1903.53,834.88,2738.41,2025-12-01
WO-00197,WA-0021,2023-05-11,Inspection,Pump Service completed for asset WA-0021,Medium,Open,Bay Utility Services,2.9,116.03,372.59,488.62,
WO-00198,WA-0023,2022-12-25,Preventive Maintenance,Hydrant Testing completed for asset WA-0023,Low,In Progress,Bay Utility Services,14.0,620.36,1660.07,2280.43,
WO-00199,WA-0080,2023-09-11,Emergency Repair,Preventive Maintenance completed for asset WA-0080,Medium,Completed,Rotorua Water Works,5.9,3202.97,731.27,3934.24,2023-09-27
WO-00200,WA-0044,2022-05-31,Leak Repair,Inspection completed for asset WA-0044,Medium,Completed,Arawa Civil,7.0,360.88,629.51,990.39,2022-06-15
